id,track_name,size_bytes,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num
1159273771,4604,222243840,0.0,167,58,4.0,3.5,4,1,37,5,1
1159290179,5715,275088384,1.99,99,85,4.0,4.0,9,1,37,5,1
1159376062,2466,21574656,0.0,0,0,0.0,0.0,4,11,37,4,1
1159410526,1532,71644160,0.0,200,9,4.5,4.5,4,8,37,5,10
1159611436,2687,191611904,0.0,78,23,4.0,4.5,4,1,38,5,4
1159900476,5912,390756352,0.0,35,17,3.0,4.5,4,1,37,5,1
1160086118,1604,47948800,0.0,0,0,0.0,0.0,4,15,37,0,4
1160380201,6277,76039168,0.0,226,13,4.5,4.5,4,1,38,5,1
1160495350,2389,902515712,6.99,65,9,4.0,4.0,9,1,37,5,5
1160574357,7153,181370880,3.99,1,1,3.0,3.0,4,1,38,5,1
1160662479,6937,59627520,0.0,0,0,0.0,0.0,17,1,38,5,16
1160688144,1436,357190656,0.0,51,15,4.0,4.5,4,17,40,5,18
1160690385,1296,96523264,0.0,0,0,0.0,0.0,4,1,37,4,4
1160692648,2499,30351360,0.0,527,92,4.5,4.5,4,1,38,5,1
1160723843,2124,106525696,0.0,173,1,4.5,4.0,4,1,38,5,16
1160731868,2919,279456768,2.99,7,1,3.0,1.0,4,1,38,5,2
1160751111,6128,79205376,4.99,123,60,3.5,3.5,4,7,37,0,7
1161030409,3023,31695872,1.99,8,8,5.0,5.0,12,14,37,1,1
1161122860,5287,130360320,1.99,27,14,3.5,4.0,4,1,40,5,4
1161136955,1687,474310656,0.0,579,120,4.0,4.5,4,1,37,5,1
1161175470,7008,58431488,0.0,5,4,3.0,2.5,4,1,40,5,1
1161194581,1875,138645504,0.0,506,246,4.0,4.0,4,1,38,5,1
1161231636,1634,45420544,0.0,41,41,5.0,5.0,4,1,40,5,2
1161251105,4989,4281344,1.99,11,1,3.0,5.0,4,3,37,0,1
1161267000,483,100624384,0.99,25,25,4.5,4.5,4,1,38,5,11
1161306103,6289,37219328,0.0,1,1,3.0,3.0,12,1,40,0,1
1161323425,5081,78190592,0.0,17,17,2.5,2.5,4,1,37,1,1
1161444237,1583,469178368,0.99,10,3,4.5,5.0,4,1,40,5,1
1161496947,400,61094912,0.0,152,56,3.5,3.5,4,1,38,2,1
1161538212,4381,44829696,0.99,8,0,5.0,0.0,9,14,37,5,1
1161615642,6533,7142400,1.99,0,0,0.0,0.0,17,18,37,0,1
1161626399,3175,791604224,0.0,56,20,3.5,4.0,9,1,37,5,1
1161641255,2735,60314624,0.0,3963,3963,4.0,4.0,4,1,40,4,1
1161656633,4572,90156032,0.0,102,102,4.5,4.5,9,1,40,5,1
1161717622,1454,197068800,7.99,14,0,4.0,0.0,4,17,38,5,8
1161739347,5055,111176704,0.0,147,38,4.5,4.5,4,1,38,5,16
1161746000,743,103877632,0.0,13,13,3.0,3.0,4,1,38,5,1
